wavelength,intensity,reflectance
901.1691579167898,16904,0.7997350617400767
905.0632354537707,18733,0.7984740633391586
908.9530429064923,20662,0.7980379282376115
912.8385802749547,22583,0.7961011033947897
918.0126544129456,25167,0.7899742607822211
921.8882282514696,27943,0.7821693491952414
925.7595320057344,31553,0.7710145635812726
929.62656567574,35678,0.768260120585702
933.4893292614863,40340,0.771201345874436
937.3478227629734,45247,0.780484018422369
941.202046180201,49543,0.7878224088032313
945.0519995131696,53159,0.79549569771792
948.8976827618787,56530,0.7993382446515179
954.0186180735321,60330,0.8025381115811318
957.8543377923032,63455,0.8032380156710844
961.6857874268148,66053,0.8014001116206838
965.5129669770672,68915,0.8016727932622958
969.3358764430603,71549,0.8014449733968076
973.1545158247943,74654,0.7996957783895536
976.9688851222688,77241,0.7996045507717471
980.7789843354842,80377,0.798079691797484
985.8524742664791,83938,0.7981856391628075
989.6526099497563,86803,0.7968476035728383
993.448475548774,89419,0.795748013277447
997.2400710635326,91645,0.7950671050691004
1001.0273964940318,93893,0.7949488620969927
1004.8104518402719,96131,0.794287272366725
1008.5892371022526,98047,0.7947716126940381
1012.363752279974,99876,0.794179389312977
1016.1339973734363,101464,0.7945870596895703
1021.1543484780938,103275,0.7948816624975947
1024.9146300416178,103821,0.7960207015526164
1028.6706415208823,104296,0.7959400160262525
1032.4223829158877,104539,0.7961964386357752
1036.169854226634,104653,0.7960037422132301
1039.9130554531207,104804,0.7964677093307798
1043.6519865953483,104675,0.7966437079036494
1047.3866476533167,104279,0.7969841488207151
1051.117038627026,104229,0.7971930092928984
1056.0842509053457,103640,0.7979489232617047
1059.8046783491166,103107,0.7983322106338994
1063.520835708628,102479,0.7982038679928654
1067.2327229838804,102496,0.798230584716987
1070.9403401748732,102530,0.7986011044731943
1074.643687281607,102028,0.7988912553244801
1078.3427643040816,102002,0.7990004856574392
1082.037571242297,102204,0.7992117671898092
1085.7281080962528,102296,0.7999749753663763
1090.6421815482354,102760,0.8002242746118025
1094.322754872253,103037,0.8003744096445439
1097.9990581120114,103548,0.800655692072157
1101.6710912675103,104097,0.8012145562020874
1105.3388543387505,104519,0.8020304179008272
1109.002347325731,105175,0.8019015378515825
1112.6615702284523,105853,0.8020928840427064
1116.3165230469144,106414,0.8024462341266251
1121.1831511182384,107471,0.8024775245661718
1124.828140406762,108343,0.8029927959443836
1128.4688596110266,109165,0.802890449748097
1132.105308731032,109675,0.8023571412894778
1135.737487766778,110605,0.8014622764557549
1139.3653967182647,111287,0.8002977196401476
1142.9890355854923,111796,0.799925585655204
1146.6084043684605,112278,0.7972874134564175
1150.2235030671693,113164,0.7959598517299347
1155.0369923121557,113772,0.7937101477585077
1158.6421274809263,114486,0.7925155234357153
1162.2429925654378,115087,0.7907368218545594
1165.83958756569,115724,0.7884395268981305
1169.431912481683,116864,0.7864704259285431
1173.0199673134166,117633,0.7839795795955907
1176.6037520608907,118101,0.7810706065977091
1180.183266724106,118837,0.7783352218023198
1183.7585113030618,119723,0.7743798712848873
1188.5188617217107,120567,0.7699927194696708
1192.0841427707282,121595,0.7669237901216659
1195.6451537354865,123013,0.7642457753479125
1199.2018946159856,124158,0.7622526598847025
1202.754365412225,125148,0.7600942616976823
1206.3025661242057,126774,0.7579864993333373
1209.846496751927,128134,0.7563722654451436
1213.3861572953888,129314,0.7555108932525517
1218.0990623333792,131466,0.7543508322957131
1221.6287593469028,133390,0.7543147322943292
1225.1541862761674,135005,0.75475759202111
1228.6753431211725,136746,0.7558075909068298
1232.1922298819184,139028,0.757732492546831
1235.704846558405,141157,0.7591453248862549
1239.2131931506324,142873,0.7607599452617902
1242.7172696586003,145029,0.7620271122320302
1246.2170760823092,146568,0.7624259385452483
1250.8768422939622,149249,0.763773604216775
1254.3666851877329,151383,0.7641245147971107
1257.852257997244,153672,0.7649445227061172
1261.333560722496,155626,0.7658081469161196
1264.8105933634888,158002,0.7654023155549097
1268.2833559202222,159812,0.7659186979401306
1271.7518483926965,161872,0.7661310552097877
1275.2160707809114,163611,0.7670572019297036
1278.6760230848672,165610,0.7679146071166919
1283.2826504701825,168407,0.7699380051936652
1286.7326392441998,170150,0.7714559048227896
1290.178357933958,172346,0.7735735573988294
1293.619806539457,173832,0.7748941291846833
1297.0569850606967,175340,0.7761772804136307
1300.4898934976768,176886,0.777291962367127
1303.918531850398,177814,0.7781862423303486
1307.3429001188597,179036,0.7784207757425032
1311.9020821235167,180445,0.7794028084330741
1315.3164868620402,181437,0.7785124605245092
1318.7266215163045,182127,0.7782373678025852
1322.1324860863097,182600,0.7781371583930999
1325.5340805720552,183058,0.7770622768776239
1328.9314049735417,183286,0.7765862339258098
1332.324459290769,183277,0.7752473446667033
1335.713243523737,183464,0.7733950484573326
1339.0977576724456,183096,0.7717298759978757
1343.603800850765,182539,0.7674865455768584
1346.9783514695355,181627,0.7642625710077846
1350.3486320040465,180827,0.7601925421448691
1353.7146424542984,179160,0.7560067853254677
1357.0763828202912,177616,0.7515497200983359
1360.4338531020244,176083,0.7466490834538292
1363.7870532994984,174800,0.7413627842668228
1367.1359834127134,173879,0.7365912759098361
1370.480643441669,172597,0.732777725887118
1374.9335477936509,172014,0.7303769627283304
1378.268244292668,170916,0.7295217363467572
1381.5986707074262,170369,0.7289355347997416
1384.9248270379248,169815,0.7281821924152244
1388.2467132841643,169050,0.7271061562084672
1391.5643294461445,167846,0.7252810882284312
1394.8776755238655,166468,0.7223950806938062
1398.1867515173271,164553,0.7176976522053917
1401.4915574265297,162913,0.711391841261801
1405.891322952174,159719,0.7009338821939209
1409.1861653314381,156832,0.690436673725176
1412.476737626443,153548,0.6787851995932983
1415.7630398371887,150667,0.6660934149738058
1419.045071963675,147418,0.6531330164060803
1422.322834005902,144193,0.6406726945549064
1425.59632596387,141476,0.6291709100288623
1428.8655478375783,138966,0.6198830409356725
1433.2178679825643,136321,0.6099537347758777
1436.4771263263347,135011,0.6040652516286062
1439.7321145858455,133750,0.5990263302863233
1442.9828327610974,132670,0.5950795039135213
1446.2292808520897,131396,0.5908917160215678
1449.471458858823,130072,0.5869251317594397
1452.709366781297,129174,0.5830309267183015
1455.9430046195116,127473,0.5786494412013037
1459.1723723734672,126022,0.5739438544076658
1463.4715536921155,123912,0.5673184779573018
1466.6909579161327,122213,0.5624341327148137
1469.9060920558904,120660,0.5574394559583099
1473.116956111389,118600,0.5517895941601493
1476.3235500826286,117167,0.5469802574145569
1479.5258739696087,115227,0.5427095206247233
1482.7239277723295,113937,0.5397299857887258
1485.917711490791,112910,0.5377998361499038
1489.1072251249932,111657,0.5364617365568667
1493.353267617304,110232,0.5359627755006783
1496.532817721568,109564,0.5365156159714809
1499.7080977415728,109128,0.5375366352239982
1502.8791076773184,108575,0.5394494957022905
1506.0458475288046,108116,0.5412782489411341
1509.2083172960315,107318,0.5432694984838591
1512.3665169789992,106955,0.5460565278657055
1515.5204465777076,106374,0.5481387583477616
1519.71904368936,105098,0.5496469849903248
1522.8630097581301,104163,0.5506957514750355
1526.002705742641,102847,0.5508145974142825
1529.1381316428926,101843,0.5511730483019889
1532.269287458885,100086,0.5505219964576847
1535.3961731906181,98796,0.5505212889852278
1538.518788838092,97063,0.5500753737517994
1541.6371344013064,95591,0.5499741096599735
1544.7512098802617,94796,0.5514761918613107
1548.8966681655766,92866,0.5526389393064788
1552.0007801145937,91515,0.5541292514123438
1555.1006219793514,89993,0.555395781132355
1558.1961937598498,88586,0.5565461045039611
1561.2874954560891,87388,0.5583077247433285
1564.374527068069,85933,0.5595033466156211
1567.4572885957898,84668,0.5608675203200869
1570.5357800392512,83131,0.5619693364339409
1573.6100013984533,81824,0.5640078303785602
1577.7023208574308,79755,0.5645971966586436
1580.7665786866946,78460,0.565991458910434
1583.8265664316991,76537,0.5662612272680191
1586.8822840924445,75180,0.5681852534840836
1589.9337316689307,73837,0.570866385242226
1592.9809091611576,72465,0.5734759933840347
1596.023816569125,71501,0.5785994044150968
1599.0624538928334,70446,0.5839259959218183
1602.0968211322825,68847,0.589155976963297
1606.1360017649222,67752,0.5979454230945741
1609.160405474433,66617,0.6038141162181515
1612.1805390996844,65048,0.609971774458229
